Date,Chrome,Mobile Safari,Internet Explorer,Firefox,Android Webkit,Others
1-Jan,28.5,20.8,13.4,9.5,10.1,17.7
3-Jan,29.8,19.8,13.2,9.9,9.7,17.6
5-Jan,31.7,16.9,16,10.7,8.6,16.1
7-Jan,32.1,16.6,16,11,8.5,15.8
9-Jan,30.5,16.3,15.1,10.5,11.8,15.8
11-Jan,28.4,19.2,12,9.5,13.4,17.5
13-Jan,30.8,16.1,15.4,10.5,11.6,15.6
15-Jan,30.8,16.3,15.2,10.5,11.5,15.7
17-Jan,29.4,20.5,12.4,9.8,10.8,17.1
19-Jan,30.9,18.7,14.6,10.6,9.3,15.9
21-Jan,31.5,17.5,15.4,10.8,9,15.8
23-Jan,31.2,17.9,15,10.6,9.2,16.1
25-Jan,29.3,21.1,12,9.8,10.2,17.6
27-Jan,31.3,17.9,15.2,10.7,8.8,16.1
29-Jan,31.3,17.8,15.1,10.7,8.9,16.2
31-Jan,29.6,21.2,12.2,9.7,9.9,17.4
2-Feb,31.3,18.3,14.8,10.6,8.8,16.2
4-Feb,31.5,17.4,14.9,10.7,9.3,16.2
6-Feb,30.2,17.2,14.4,10.4,11.8,16
8-Feb,28.4,20,11.4,9.4,13.3,17.5
10-Feb,30.8,16.8,14.5,10.4,11.5,16
12-Feb,31,17.2,14.8,10.5,10.3,16.2
14-Feb,29.7,20.1,11.8,9.7,10.7,18
16-Feb,30.3,19.1,14,10.3,9.3,17
18-Feb,31.4,17.8,14.6,10.6,9.2,16.4
20-Feb,31.1,17.9,14.4,10.6,9.3,16.7
22-Feb,29.6,20.3,11.7,9.8,10.1,18.5
24-Feb,32,17,14.9,11,8.8,16.3
26-Feb,31.5,17.2,14.8,11.1,8.9,16.5
28-Feb,30.4,19.4,12.1,10.1,9.9,18.1
2-Mar,31.8,17,14.9,10.9,8.8,16.6
4-Mar,31.5,16.4,14.8,10.8,9.2,17.3
6-Mar,31.5,17,14.3,11,9.2,17
8-Mar,30,20.4,11.5,10,9.9,18.2
10-Mar,31.4,16.8,14.5,10.8,9.9,16.6
12-Mar,31,16.6,14.2,11.3,10.6,16.3
14-Mar,30.4,19.6,11.5,10.2,10.5,17.8
16-Mar,32,17.3,14.4,10.9,9,16.4
18-Mar,32.6,17.1,14.5,11,8.8,16
20-Mar,32.2,17.7,14.3,10.8,8.9,16.1
22-Mar,30.5,20.5,11.4,10,9.8,17.8
24-Mar,32.6,17.4,14.4,10.9,8.7,16
26-Mar,33,17.3,14.3,10.9,8.4,16.1
28-Mar,31.1,20.3,11.7,9.9,9.6,17.4
30-Mar,32.5,17.4,14.7,11,8.4,16
1-Apr,32.5,17.7,14.3,10.9,8.5,16.1
3-Apr,30.7,19.6,13,10.2,9.2,17.3
5-Apr,30.3,21.3,11,9.7,9.8,17.9
7-Apr,32.5,17.8,14.3,11,8.3,16.1
9-Apr,31.3,18.3,14.4,10.8,8.6,16.6
11-Apr,30.8,20.7,11.5,9.8,9.3,17.9
